year,event,round,heat,name,scores
2008,Rip Curl Pro Bells Beach,Round 2,Heat 1 ,Mick Fanning,"[1.0, 7.5, 0.57, 6.67, 5.33]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 1 ,Stuart Kennedy,"[3.33, 2.17, 0.9, 1.93, 1.07]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 2 ,Bede Durbidge,"[0.6, 9.33, 8.0, 1.33]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 2 ,Nathan Hedge,"[3.83, 0.63, 0.3, 0.5, 2.5, 2.8]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 3 ,Troy Brooks,"[8.83, 0.7, 2.07, 4.67, 1.23, 2.9, 0.67, 7.27, 4.5]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 3 ,Dean Morrison,"[1.0, 1.93, 2.27, 7.17, 2.33, 3.67, 5.33, 2.77]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 4 ,Kai Otton,"[0.67, 7.83, 2.17, 6.67, 1.07]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 4 ,Nic Muscroft,"[0.63, 0.37, 7.6, 0.27]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 5 ,Luke Stedman,"[6.5, 1.5, 5.67, 5.17, 7.17]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 5 ,Chris Ward,"[2.67, 2.73, 3.33, 4.33, 1.0, 1.6, 3.9, 1.83, 9.0]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 6 ,Jihad Khodr,"[0.57, 6.17, 0.5, 0.5, 0.2, 5.13]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 6 ,Leonardo Neves,"[5.83, 1.0, 4.0, 4.5, 2.5]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 7 ,Adriano de Souza,"[2.83, 4.0, 2.0, 7.83, 3.8, 6.83, 1.07]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 7 ,Tiago Pires,"[4.67, 0.5, 4.6, 1.57, 0.27, 4.93, 1.4, 1.43]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 8 ,Ben Dunn,"[1.83, 1.57, 6.83, 3.1, 6.17, 1.83]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 8 ,Travis Logie,"[1.0, 4.67, 5.67, 0.27, 5.47]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 9 ,Tim Reyes,"[6.83, 1.5, 0.93, 0.93, 0.73, 4.83, 6.17, 6.5]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 9 ,Royden Bryson,"[0.5, 4.83, 1.27, 1.97]"
2008,Rip Curl Pro Bells Beach,Round 2,Heat 10 ,Daniel Wills,"[4.33, 1.0, 5.83, 7.67]"
